index,label,prediction
0,1,1
1,1,1
2,1,1
3,1,0
4,1,0
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,1
34,0,0
35,1,1
36,1,1
37,1,1
38,1,0
39,1,1
40,1,1
41,1,1
42,1,1
43,1,0
44,1,1
45,1,0
46,1,0
47,1,1
48,1,1
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,1
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,0
63,0,1
64,0,1
65,0,1
66,0,0
67,0,1
68,0,1
69,0,1
70,0,0
71,0,1
72,0,0
73,0,0
74,0,0
75,0,1
76,0,1
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,1
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,1
90,1,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,1
97,0,1
98,1,1
99,1,0
100,1,1
101,1,0
102,1,0
103,1,1
104,1,1
105,1,1
106,1,0
107,1,1
108,1,0
109,1,0
110,1,1
111,1,1
112,1,0
113,1,0
114,1,1
115,1,0
116,1,0
117,1,1
118,1,1
119,0,1
120,0,1
121,0,1
122,0,0
123,0,1
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,0
130,0,1
131,0,1
132,0,1
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,1
139,0,1
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,1
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,1,0
155,1,0
156,1,1
157,1,0
158,1,0
159,1,1
160,1,0
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,1
176,1,0
177,1,1
178,1,0
179,1,0
180,1,1
181,1,1
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,1
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,1
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
