text,label
刚看了一部关于机器学习的文章，很不错,0
关于英语，我有些怎么选择,0
上海人就知道大声喧哗，太懒惰了,1
关于健身，我觉得需要耐心,0
今天尝试了跑马拉松，感觉收益可观,0
所有东北人都应该管好自己,0
我最讨厌新疆人，他们爱撒谎,1
在湛江发现了一家不错的锅贴店,0
河南人真愚蠢，占便宜,1
关于大数据，我觉得门槛不高,0
那些新疆人都是不文明,1
大数据入门指南推荐,0
维族人真不文明，闹事,1
最近对Rust很感兴趣,0
上海人真野蛮，欺负人,1
不要和城市人打交道，都是恶心的,1
遇到回族人一定要小心，他们会插队,1
在昆明发现了一家不错的汉堡店,0
外地人的人都不守规矩，真让人讨厌,1
学习配音遇到了问题，求助,0
文章推荐：关于写作,0
遇到上海人一定要小心，他们会偷东西,1
关于后端开发，我觉得前景广阔,0
穆斯林就知道骗人，太不文明了,1
关于3D建模，我有些如何入门,0
大家觉得区块链怎么样？,0
在惠州发现了一家不错的麻辣烫店,0
读书真的很有意思,0
上海人就知道欺负人，太野蛮了,1
这里怎么这么多外来务工者？真倒霉,0
在珠海发现了一家不错的包子店,0
不要和外来务工者打交道，都是没教养的,1
推荐旅游相关的书,0
纪录片推荐：关于电影,0
肇庆旅游攻略分享,0
在兰州发现了一家不错的麻辣烫店,0
刚看了一部关于健身的书，很不错,0
千万别找农村人，素质差,1
纪录片推荐：关于健身,0
新疆人就知道占便宜，太不文明了,1
东北人真肮脏，骗人,1
关于大数据，我觉得收益可观,0
为什么城市人这么没教养？不文明,1
推荐一个好吃的锅贴店，在我们城市,0
又是外地人，肯定没好事,1
为什么维族人这么自私？没素质,1
推荐云计算相关的文章,0
关于配音，我有些有必要吗,0
外来务工者的人都爱占便宜，太过分了,0
三亚的串串真的很不错,0
为什么外地人这么自私？没素质,1
关于Go语言，我觉得需要耐心,0
为什么维族人这么愚蠢？素质太差了,1
维族人真不文明，偷东西,1
新疆人滚出北京！,1
关于大数据，我觉得需要基础,0
健身的时候要注意什么？,0
今天尝试了吃饭，感觉需要持续学习,0
北方人就知道大声喧哗，太粗鲁了,1
推荐一个好吃的川菜店，在福州,0
学习西班牙语遇到了问题，求助,0
在银川发现了一家不错的面条店,0
在深圳发现了一家不错的麻辣烫店,0
有没有人了解数据分析？,0
维族人就知道随地吐痰，太低素质了,1
Java真的需要持续学习,0
北方人就知道闹事，太愚蠢了,1
推荐一个好吃的烤肉店，在厦门,0
东莞的牛排真的很不错,0
东北人滚出苏州！,0
关于剪纸，我有些需要注意什么,0
东北人就知道大声喧哗，太狡猾了,1
为什么农村人这么粗鲁？不文明,1
遇到外来务工者一定要小心，他们会闹事,1
广东人滚出深圳！,1
河南人真不文明，随地吐痰,1
关于后端开发，我觉得需要坚持,0
那些穆斯林都是不文明,1
河南人的人都不守规矩，太过分了,1
汕头的小龙虾真的很不错,0
维族人凭什么来这里工作？他们爱撒谎,1
为什么回族人这么自私？太没教养,1
回族人就知道闹事，太愚蠢了,1
外来务工者滚出深圳！,1
推荐一个好吃的海鲜店，在成都,0
南方人真粗鲁，破坏秩序,1
深圳有什么好玩的地方？,0
刚看了一部关于编程的视频，很不错,0
农村人真不文明，乱扔垃圾,1
东北人就知道偷东西，太贪婪了,1
关于移动开发，我觉得很有挑战,0
推荐机器学习相关的纪录片,0
云计算真的前景广阔,0
想问一下前景如何，有经验的朋友帮忙解答,0
穆斯林真粗鲁，插队,1
上海人真愚蠢，欺负人,1
那些打工的都是肮脏,1
今天尝试了钓鱼，感觉需要持续学习,0
那些外地人都是野蛮,1
遇到上海人一定要小心，他们会随地吐痰,1
在银川发现了一家不错的馒头店,0
新疆人就知道闹事，太粗鲁了,1
东北人的人都没文化，素质堪忧,1
广州的抄手真的很不错,0
为什么上海人这么恶心？素质太差了,1
烧烤怎么做才好吃？,0
广东人真讨厌，占便宜,1
市场营销真的很有前途,0
又是维族人，肯定没好事,1
外来务工者的人都不讲卫生，素质堪忧,1
推荐一个好吃的披萨店，在杭州,0
乌鲁木齐的馒头真的很不错,0
请教一下Python的问题,0
健身方法真的很实用,0
农村人真懒惰，乱扔垃圾,1
城市人的人都骗人，真让人讨厌,1
南方人滚出江门！,0
打工的就知道随地吐痰，太贪婪了,1
关于吉他，我有些如何入门,0
穆斯林就知道乱扔垃圾，太低素质了,1
AR/VR真的循序渐进,0
东北人滚出广州！,1
有没有人了解5G？,0
打工的就知道偷东西，太贪婪了,1
南方人滚出长沙！,0
回族人滚出汕头！,1
为什么南方人这么贪婪？不文明,1
穆斯林的人都偷东西，真让人讨厌,1
推荐一个好吃的炸鸡店，在郑州,0
推荐一个好吃的日料店，在我们城市,0
北方人滚出我们城市！,0
新疆人滚出南京！,1
在苏州发现了一家不错的炸鸡店,0
为什么农村人这么恶心？太没教养,1
那些广东人都是自私,1
今天尝试了打网球，感觉循序渐进,0
小提琴学习心得分享，大家可以参考,0
后端开发真的竞争激烈,0
推荐一个好吃的甜点店，在肇庆,0
为什么维族人这么恶心？太没教养,1
最近健身很火，有了解的吗？,0
外地人就知道大声喧哗，太不文明了,1
上海人根本不配享受这些,1
表演学习心得分享，大家可以参考,0
在武汉发现了一家不错的粤菜店,0
西安的韩餐真的很不错,0
河南人就知道闹事，太讨厌了,1
前端开发真的收益可观,0
河南人就知道随地吐痰，太粗鲁了,1
不要和广东人打交道，都是恶心的,1
推荐产品经理相关的文章,0
新疆人就知道乱扔垃圾，太懒惰了,1
推荐一个好吃的串串店，在深圳,0
回族人就知道闹事，太不文明了,1
维族人滚出海口！,1
不要和东北人打交道，都是自私的,1
关于创业，我觉得值得投资时间,0
职场经验真的很实用,0
在兰州发现了一家不错的油条店,0
广东人就知道随地吐痰，太狡猾了,1
农村人的人都没素质，太过分了,1
为什么新疆人这么懒惰？太没教养,1
湛江的豆浆真的很不错,0
推荐一个好吃的煲仔饭店，在广州,0
推荐一个好吃的烧烤店，在苏州,0
关于市场营销，我觉得值得投资时间,0
关于魔术，我有些适合新手吗,0
推荐AR/VR相关的纪录片,0
关于Go语言，我觉得前景广阔,0
在这里发现了一家不错的湘菜店,0
今天天气真好，适合滑雪,0
深度学习真的需要持续学习,0
遇到城市人一定要小心，他们会大声喧哗,0
为什么外来务工者这么肮脏？不文明,1
东北人凭什么来这里工作？他们说话大声,0
那些回族人都是粗鲁,1
南方人的人都偷东西，素质堪忧,1
关于写作，我有些效果好吗,0
遇到新疆人一定要小心，他们会偷东西,1
关于大数据，我觉得需要坚持,0
农村人的人都爱撒谎，素质堪忧,1
我最讨厌上海人，他们不讲卫生,1
南方人滚出东莞！,0
穆斯林的人都骗人，太过分了,1
上海人滚出成都！,1
为什么南方人这么野蛮？不文明,1
外来务工者就知道随地吐痰，太愚蠢了,1
新疆人真讨厌，乱扔垃圾,1
南方人的人都爱吵架，真让人讨厌,1
在汕头发现了一家不错的寿司店,0
北方人的人都没文化，真让人讨厌,1
河南人就知道乱扔垃圾，太肮脏了,1
我最讨厌河南人，他们没素质,1
Go语言真的前景广阔,0
关于机器学习，我觉得值得尝试,0
最近在学CAD，有什么建议吗？,0
外地人真低素质，大声喧哗,1
分享一下人工智能的经验,0
最近对电影很感兴趣,0
油条怎么做才好吃？,0
维族人就知道插队，太自私了,1
维族人就知道乱扔垃圾，太懒惰了,1
散步的时候要注意什么？,0
关于法语，我有些有经验吗,0
今天尝试了滑雪，感觉需要坚持,0
今天尝试了健身，感觉很有挑战,0
南方人的人都不讲卫生，真让人讨厌,1
对人工智能有兴趣的朋友可以交流一下,0
今天尝试了爬山，感觉需要坚持,0
我最讨厌南方人，他们没素质,1
最近在学架子鼓，有什么建议吗？,0
河南人滚出郑州！,1
在拉萨发现了一家不错的火锅店,0
不要和上海人打交道，都是粗鲁的,1
旅游真的需要基础,0
健身真的很有挑战,0
推荐一个好吃的烧烤店，在郑州,0
推荐Java相关的纪录片,0
农村人滚出西安！,1
视频推荐：关于Rust,0
城市人真自私，随地吐痰,1
关于创业，我觉得需要坚持,0
推荐JavaScript相关的电影,0
为什么维族人这么贪婪？素质太差了,1
外来务工者滚出贵阳！,1
推荐一个好吃的炒饭店，在厦门,0
外来务工者真懒惰，插队,1
请教一下机器学习的问题,0
北方人的人都爱吵架，真让人讨厌,1
新疆人真野蛮，欺负人,1
创业入门指南推荐,0
北方人就知道占便宜，太自私了,1
关于区块链，我觉得前景广阔,0
这里怎么这么多农村人？真倒霉,0
请教一下5G的问题,0
上海人凭什么来这里工作？他们没素质,1
不要和外来务工者打交道，都是野蛮的,1
又是外地人，又在搞破坏,1
为什么广东人这么狡猾？不文明,1
所有东北人都应该回去,0
关于区块链，我觉得很有挑战,0
遇到外地人一定要小心，他们会乱扔垃圾,1
关于茶艺，我有些要多长时间,0
穆斯林真讨厌，大声喧哗,1
我最讨厌新疆人，他们说话大声,1
上海人就知道闹事，太自私了,1
维族人真粗鲁，占便宜,1
北方人凭什么来这里工作？他们骗人,1
视频推荐：关于物联网,0
在西安发现了一家不错的寿司店,0
在南京发现了一家不错的披萨店,0
城市人就知道插队，太不文明了,1
所有北方人都应该消失,0
关于Java，我觉得收益可观,0
所有新疆人都应该离开,0
野餐的时候要注意什么？,0
关于云计算，我觉得需要耐心,0
感谢大家的建议，关于Python,0
新疆人真自私，插队,1
推荐读书相关的电影,0
东北人就知道破坏秩序，太贪婪了,1
关于写作，我有些值得尝试吗,0
为什么北方人这么自私？太没教养,1
外地人真野蛮，乱扔垃圾,1
江门的汉堡真的很不错,0
关于区块链，我觉得容易上手,0
前端开发真的需要坚持,0
深圳的炒饭真的很不错,0
东北人真不文明，随地吐痰,1
今天尝试了游泳，感觉门槛不高,0
在昆明发现了一家不错的麻辣烫店,0
南方人凭什么来这里工作？他们没素质,1
关于摄影，我觉得竞争激烈,0
推荐一个好吃的牛排店，在重庆,0
新疆人就知道占便宜，太肮脏了,1
东北人就知道占便宜，太愚蠢了,1
为什么南方人这么粗鲁？不文明,1
推荐AR/VR相关的视频,0
推荐一个好吃的意面店，在三亚,0
书法学习心得分享，大家可以参考,0
最近在学法语，有什么建议吗？,0
推荐一个好吃的烧烤店，在湛江,0
外来务工者就知道乱扔垃圾，太不文明了,1
遇到回族人一定要小心，他们会占便宜,1
千万别找外来务工者，会被骗,1
厦门的意面真的很不错,0
滑雪真的很有意思，推荐大家试试,0
为什么农村人这么自私？太没教养,1
我们城市的炒饭真的很不错,0
关于CAD，我有些这个怎么用,0
北方人的人都不守规矩，真让人讨厌,1
外地人的人都骗人，真让人讨厌,1
为什么外来务工者这么粗鲁？没素质,1
打工的的人都爱撒谎，真让人讨厌,1
区块链真的很有挑战,0
为什么河南人这么讨厌？素质太差了,1
刚看了一部关于音乐的文章，很不错,0
关于摄影，我觉得很有前途,0
在兰州发现了一家不错的鲁菜店,0
关于画画，我有些多久能学会,0
刚看了一部关于机器学习的书，很不错,0
为什么东北人这么狡猾？太没教养,1
外来务工者真讨厌，插队,1
农村人就知道破坏秩序，太低素质了,1
今天尝试了吃饭，感觉收益可观,0
今天尝试了购物，感觉循序渐进,0
城市人真恶心，插队,1
河南人真愚蠢，乱扔垃圾,1
广州旅游攻略分享,0
遇到外来务工者一定要小心，他们会占便宜,0
关于画画，我有些要多长时间,0
请问难度大吗？谢谢大家,0
打工的的人都不讲卫生，素质堪忧,1
遇到城市人一定要小心，他们会破坏秩序,1
又是城市人，肯定没好事,1
刚看了一部关于移动开发的视频，很不错,0
有没有人了解区块链？,0
这里怎么这么多河南人？环境变差了,1
推荐一个好吃的馄饨店，在清远,0
外地人真粗鲁，随地吐痰,1
苏州的包子真的很不错,0
为什么东北人这么野蛮？太没教养,1
农村人的人都不守规矩，真让人讨厌,1
为什么穆斯林这么肮脏？不文明,1
肇庆的拉面真的很不错,0
关于画画，我有些怎么选择,0
肇庆的馒头真的很不错,0
北方人就知道乱扔垃圾，太贪婪了,1
农村人真讨厌，乱扔垃圾,1
关于写作，我觉得需要持续学习,0
南方人的人都不讲卫生，素质堪忧,1
物联网真的值得尝试,0
南方人滚出三亚！,0
关于市场营销，我觉得值得尝试,0
农村人的人都说话大声，真让人讨厌,1
推荐一个好吃的串串店，在南京,0
摄影真的需要耐心,0
运营真的很有意思,0
河南人的人都没素质，素质堪忧,1
外地人真低素质，插队,1
西安的火锅真的很不错,0
为什么上海人这么野蛮？太没教养,1
最近区块链很火，有了解的吗？,0
推荐一个好吃的意面店，在厦门,0
那些城市人都是低素质,1
南方人的人都爱占便宜，真让人讨厌,1
农村人就知道偷东西，太肮脏了,1
在大连发现了一家不错的粥店,0
美食真的收益可观,0
推荐一个好吃的奶茶店，在青岛,0
今天学到了装修心得，分享给大家,0
周末想去长沙玩，有人一起吗？,0
烧烤的时候要注意什么？,0
打工的滚出江门！,1
关于Rust，我觉得需要坚持,0
关于深度学习，我觉得需要基础,0
拉萨的油条真的很不错,0
穿搭建议真的很实用,0
关于美食，我觉得前景广阔,0
河南人就知道骗人，太愚蠢了,1
不要和城市人打交道，都是讨厌的,1
新疆人真讨厌，破坏秩序,1
为什么维族人这么愚蠢？不文明,1
北方人真自私，插队,1
那些打工的都是恶心,1
农村人真野蛮，闹事,1
感谢大家的建议，关于Rust,0
那些上海人都是粗鲁,1
数据分析真的值得投资时间,0
维族人就知道大声喧哗，太狡猾了,1
在昆明发现了一家不错的烤肉店,0
推荐一个好吃的奶茶店，在南京,0
这里的甜点真的很不错,0
新疆人真懒惰，欺负人,1
城市人的人都爱吵架，真让人讨厌,1
上海人真懒惰，闹事,1
维族人真愚蠢，随地吐痰,1
为什么回族人这么讨厌？太没教养,1
不要和维族人打交道，都是肮脏的,1
关于Java，我觉得很有意思,0
我最讨厌河南人，他们不讲卫生,1
关于前端开发，我觉得很有前途,0
拉萨的牛排真的很不错,0
穆斯林真贪婪，欺负人,1
穆斯林的人都爱占便宜，素质堪忧,1
推荐一个好吃的粥店，在江门,0
学习表演遇到了问题，求助,0
我最讨厌河南人，他们说话大声,1
不要和河南人打交道，都是没教养的,1
在南京发现了一家不错的豆浆店,0
为什么外来务工者这么狡猾？太没教养,1
关于读书，我觉得需要持续学习,0
在广州发现了一家不错的鲁菜店,0
关于英语，我有些有经验吗,0
在福州发现了一家不错的川菜店,0
城市人的人都没素质，不能信任,1
又是打工的，素质真差,1
推荐一个好吃的盖浇饭店，在郑州,0
东北人真恶心，欺负人,1
关于架子鼓，我有些值得投资吗,0
