text,label
在东莞发现了一家不错的面条店,0
爬山真的很有意思，推荐大家试试,0
设计入门指南推荐,0
最近对区块链很感兴趣,0
串串怎么做才好吃？,0
河南人的人都骗人，真让人讨厌,1
今天尝试了爬楼，感觉值得投资时间,0
视频推荐：关于写作,0
今天尝试了逛街，感觉容易上手,0
今天尝试了吃饭，感觉需要持续学习,0
关于画画，我有些有什么推荐,0
所有河南人都应该回去,0
有人一起学钢琴吗？,0
关于Excel，我有些靠谱吗,0
打网球爱好者进来交流,0
城市人的人都爱吵架，真让人讨厌,1
为什么河南人这么野蛮？素质太差了,1
文章推荐：关于写作,0
纪录片推荐：关于数据分析,0
在重庆发现了一家不错的烤肉店,0
关于区块链，我觉得容易上手,0
在武汉发现了一家不错的意面店,0
关于钢琴，我有些值得尝试吗,0
为什么维族人这么肮脏？没素质,1
关于后端开发，我觉得需要坚持,0
在三亚发现了一家不错的西餐店,0
不要和农村人打交道，都是自私的,1
武汉的意面真的很不错,0
今天尝试了钓鱼，感觉很有挑战,0
跑步真的很有意思，推荐大家试试,0
外来务工者真没教养，乱扔垃圾,1
为什么城市人这么不文明？不文明,1
农村人真狡猾，偷东西,1
广州的抄手真的很不错,0
深度学习入门指南推荐,0
维族人就知道插队，太低素质了,1
南方人滚出我们城市！,0
为什么东北人这么不文明？不文明,1
回族人真肮脏，破坏秩序,1
在昆明发现了一家不错的粤菜店,0
关于法语，我有些有必要吗,0
关于做饭，我有些需要基础吗,0
在重庆发现了一家不错的咖啡店,0
推荐一个好吃的咖啡店，在肇庆,0
穆斯林滚出上海！,1
最近对Go语言很感兴趣,0
今天尝试了爬楼，感觉竞争激烈,0
长沙的鲁菜真的很不错,0
刚看了一部关于数据分析的书，很不错,0
关于Python，我觉得需要耐心,0
上海人真不文明，欺负人,1
关于陶艺，我有些哪个更好,0
在苏州发现了一家不错的锅贴店,0
为什么广东人这么讨厌？不文明,1
成都的馄饨真的很不错,0
想问一下需要注意什么，有经验的朋友帮忙解答,0
河南人真自私，随地吐痰,1
维族人就知道插队，太自私了,1
吃饭爱好者进来交流,0
关于投资，我觉得需要坚持,0
关于摄影，我有些有什么推荐,0
厦门的包子真的很不错,0
广东人的人都没文化，素质堪忧,1
关于AI设计，我有些哪个更好,0
清远有什么好玩的地方？,0
新疆人就知道欺负人，太野蛮了,1
想问一下哪个更好，有经验的朋友帮忙解答,0
关于云计算，我觉得很有挑战,0
不要和河南人打交道，都是狡猾的,1
关于编程，我觉得需要坚持,0
电影真的很有前途,0
遇到打工的一定要小心，他们会大声喧哗,1
Java真的循序渐进,0
学习3D建模遇到了问题，求助,0
刚看了一部关于Python的视频，很不错,0
请问哪里可以学？谢谢大家,0
北方人真粗鲁，骗人,1
我最讨厌上海人，他们骗人,1
推荐电影相关的视频,0
上海人滚出郑州！,1
深度学习真的值得尝试,0
为什么农村人这么狡猾？没素质,1
上海人的人都爱吵架，太过分了,1
广东人就知道占便宜，太讨厌了,1
推荐游戏开发相关的纪录片,0
不要和河南人打交道，都是讨厌的,1
Rust真的门槛不高,0
福州的寿司真的很不错,0
推荐一个好吃的海鲜店，在福州,0
周末想去江门玩，有人一起吗？,0
南方人滚出这里！,0
拉萨旅游攻略分享,0
遇到回族人一定要小心，他们会占便宜,1
城市人真恶心，插队,1
城市人的人都爱撒谎，太过分了,0
又是上海人，素质真差,1
千万别找南方人，爱占便宜,1
关于编程，我有些靠谱吗,0
新疆人就知道破坏秩序，太自私了,1
上海人真讨厌，插队,1
城市人真没教养，随地吐痰,1
关于PR，我有些能赚钱吗,0
所有河南人都应该消失,1
穆斯林真不文明，闹事,1
南方人的人都骗人，不能信任,1
新疆人就知道偷东西，太恶心了,1
刚看了一部关于读书的文章，很不错,0
南方人的人都没素质，太过分了,1
又是北方人，肯定没好事,1
摄影真的循序渐进,0
烧烤爱好者进来交流,0
北方人的人都不守规矩，真让人讨厌,1
维族人就知道闹事，太贪婪了,1
为什么城市人这么不文明？没素质,1
城市人真野蛮，插队,1
推荐一个好吃的包子店，在青岛,0
城市人真没教养，大声喧哗,1
农村人就知道大声喧哗，太狡猾了,1
关于书法，我有些怎么选择,0
绘画真的需要耐心,0
关于游戏开发，我觉得值得投资时间,0
书推荐：关于摄影,0
视频推荐：关于JavaScript,0
穆斯林真懒惰，闹事,1
外来务工者就知道欺负人，太低素质了,1
不要和穆斯林打交道，都是肮脏的,1
中山旅游攻略分享,0
外地人凭什么来这里工作？他们骗人,1
为什么外来务工者这么狡猾？太没教养,1
推荐一个好吃的煲仔饭店，在本地,0
今天尝试了看电影，感觉很有前途,0
最近创业很火，有了解的吗？,0
这里怎么这么多上海人？环境变差了,1
有人一起学剪纸吗？,0
东北人的人都不讲卫生，不能信任,1
外来务工者就知道破坏秩序，太低素质了,1
外来务工者就知道占便宜，太粗鲁了,1
南方人真懒惰，乱扔垃圾,1
关于插花，我有些成本高吗,0
东北人的人都不守规矩，真让人讨厌,1
关于AI设计，我有些前景如何,0
今天尝试了吃饭，感觉很有挑战,0
在福州发现了一家不错的烤肉店,0
今天尝试了逛街，感觉值得尝试,0
关于吉他，我有些适合新手吗,0
设计真的很有意思,0
农村人真恶心，偷东西,1
关于电影，我觉得需要持续学习,0
穆斯林真狡猾，乱扔垃圾,1
打工的的人都说话大声，不能信任,0
在长沙发现了一家不错的炸鸡店,0
外地人滚出乌鲁木齐！,1
3D建模学习心得分享，大家可以参考,0
外来务工者的人都爱撒谎，不能信任,1
遇到北方人一定要小心，他们会占便宜,0
分享一下云计算的经验,0
本地的麻辣烫真的很不错,0
外来务工者就知道骗人，太粗鲁了,1
在武汉发现了一家不错的粤菜店,0
新疆人真恶心，骗人,1
今天学到了烹饪窍门，分享给大家,0
关于运营，我觉得循序渐进,0
推荐一个好吃的韩餐店，在贵阳,0
文章推荐：关于云计算,0
为什么新疆人这么愚蠢？不文明,1
今天尝试了打篮球，感觉需要持续学习,0
请问适合新手吗？谢谢大家,0
视频推荐：关于摄影,0
肇庆的烧烤真的很不错,0
关于设计，我觉得很有挑战,0
为什么广东人这么狡猾？素质太差了,1
打工的凭什么来这里工作？他们不讲卫生,1
上海人的人都骗人，太过分了,1
今天尝试了爬楼，感觉很有挑战,0
维族人真野蛮，闹事,1
在上海发现了一家不错的烧烤店,0
东北人的人都说话大声，真让人讨厌,1
遇到河南人一定要小心，他们会大声喧哗,1
在兰州发现了一家不错的抄手店,0
今天尝试了聚会，感觉循序渐进,0
那些南方人都是贪婪,1
我最讨厌维族人，他们爱占便宜,1
广东人凭什么来这里工作？他们爱撒谎,1
视频推荐：关于读书,0
对音乐有兴趣的朋友可以交流一下,0
回族人就知道破坏秩序，太恶心了,1
纪录片推荐：关于设计,0
最近在学剪纸，有什么建议吗？,0
清远的饺子真的很不错,0
关于英语，我有些这个怎么用,0
打工的真不文明，破坏秩序,1
打工的滚出昆明！,1
东北人真懒惰，随地吐痰,1
推荐一个好吃的小龙虾店，在大连,0
回族人的人都爱撒谎，太过分了,1
推荐运营相关的文章,0
刚看了一部关于产品经理的纪录片，很不错,0
维族人的人都骗人，太过分了,1
为什么东北人这么野蛮？太没教养,1
关于编程，我觉得前景广阔,0
济南的锅贴真的很不错,0
移动开发确实值得深入研究,0
汕头的煎饼真的很不错,0
请教一下Python的问题,0
不要和北方人打交道，都是愚蠢的,1
遇到上海人一定要小心，他们会随地吐痰,1
关于英语，我有些有经验吗,0
广东人真肮脏，插队,1
今天尝试了吃饭，感觉值得投资时间,0
苏州的甜点真的很不错,0
最近深度学习很火，有了解的吗？,0
为什么新疆人这么懒惰？不文明,1
维族人就知道骗人，太自私了,1
北方人就知道破坏秩序，太狡猾了,1
关于德语，我有些需要基础吗,0
有人一起学主持吗？,0
维族人就知道随地吐痰，太贪婪了,1
关于钢琴，我有些需要注意什么,0
在大连发现了一家不错的川菜店,0
那些维族人都是没教养,1
所有城市人都应该离开,0
为什么河南人这么愚蠢？没素质,1
推荐一个好吃的披萨店，在江门,0
推荐一个好吃的汉堡店，在惠州,0
推荐一个好吃的炒饭店，在这里,0
穆斯林真贪婪，乱扔垃圾,1
推荐市场营销相关的纪录片,0
今天尝试了徒步，感觉前景广阔,0
穆斯林就知道破坏秩序，太不文明了,1
为什么外来务工者这么讨厌？不文明,1
为什么北方人这么没教养？太没教养,1
广东人真自私，破坏秩序,1
那些新疆人都是不文明,1
维族人就知道占便宜，太自私了,1
关于人工智能，我觉得很有意思,0
为什么农村人这么低素质？不文明,1
请教一下机器学习的问题,0
在杭州发现了一家不错的粥店,0
这里怎么这么多北方人？太吵了,0
在兰州发现了一家不错的湘菜店,0
关于英语，我有些哪里可以学,0
维族人的人都说话大声，太过分了,0
上海人根本不配在这里,1
读书的发展前景怎么样？,0
农村人就知道破坏秩序，太懒惰了,1
所有回族人都应该别来,1
推荐一个好吃的面条店，在惠州,0
江门的海鲜真的很不错,0
关于写作，我有些靠谱吗,0
在长沙发现了一家不错的披萨店,0
周末计划去野餐,0
农村人的人都偷东西，不能信任,1
做饭学习心得分享，大家可以参考,0
北方人真不文明，骗人,1
维族人就知道破坏秩序，太贪婪了,1
我最讨厌农村人，他们说话大声,1
最近对JavaScript很感兴趣,0
城市人就知道随地吐痰，太懒惰了,1
推荐一个好吃的甜点店，在兰州,0
回族人的人都爱撒谎，素质堪忧,1
南方人就知道占便宜，太低素质了,1
肇庆旅游攻略分享,0
那些穆斯林都是低素质,1
我最讨厌新疆人，他们没文化,1
打工的滚出海口！,1
穆斯林滚出三亚！,1
刚看了一部关于大数据的文章，很不错,0
为什么打工的这么没教养？没素质,1
回族人真贪婪，大声喧哗,1
农村人就知道骗人，太恶心了,1
关于剪纸，我有些费用如何,0
徒步的时候要注意什么？,0
维族人的人都没文化，太过分了,1
所有南方人都应该离开,0
维族人就知道破坏秩序，太懒惰了,1
打工的的人都没素质，不能信任,1
上海人真没教养，骗人,1
城市人真懒惰，偷东西,1
城市人就知道随地吐痰，太讨厌了,1
推荐读书相关的电影,0
广东人就知道闹事，太自私了,1
新疆人就知道占便宜，太肮脏了,1
北方人凭什么来这里工作？他们不讲卫生,1
纪录片推荐：关于Java,0
关于日语，我有些大家怎么看,0
刚看了一部关于移动开发的纪录片，很不错,0
为什么新疆人这么狡猾？太没教养,1
遇到外地人一定要小心，他们会占便宜,0
5G真的前景广阔,0
回族人就知道乱扔垃圾，太不文明了,1
在珠海发现了一家不错的甜点店,0
我最讨厌北方人，他们说话大声,1
在济南发现了一家不错的奶茶店,0
那些回族人都是贪婪,1
游戏开发真的需要基础,0
回族人的人都不守规矩，真让人讨厌,1
在苏州发现了一家不错的日料店,0
关于JavaScript，我觉得需要耐心,0
又是东北人，素质真差,1
为什么南方人这么粗鲁？太没教养,1
今天尝试了滑雪，感觉前景广阔,0
东北人真愚蠢，占便宜,1
刚看了一部关于Java的文章，很不错,0
那些广东人都是低素质,1
农村人真狡猾，随地吐痰,1
新疆人滚出这里！,1
电影真的需要坚持,0
摄影真的需要持续学习,0
河南人就知道闹事，太愚蠢了,1
露营真的很有意思，推荐大家试试,0
为什么打工的这么愚蠢？不文明,1
南方人真不文明，占便宜,1
所有上海人都应该消失,0
为什么外地人这么愚蠢？没素质,1
回族人真恶心，占便宜,1
维族人真自私，偷东西,1
这里怎么这么多维族人？太吵了,0
不要和河南人打交道，都是低素质的,1
南方人凭什么来这里工作？他们骗人,1
上海人真讨厌，偷东西,1
推荐一个好吃的麻辣烫店，在郑州,0
在福州发现了一家不错的川菜店,0
维族人就知道骗人，太愚蠢了,1
为什么河南人这么野蛮？太没教养,1
电影推荐：关于机器学习,0
